event_id,permno,symbol,entry_date,block,cluster,title
EV-000028,14040,S,2015-08-05,2015-08,18,Softbank's Son Says Excited About Sprint Turnaround; Says Does Not Want to Sell Co -Reuters
EV-000029,77462,M,2015-08-05,2015-08,15,"Wedbush's Brown Highlights Softline Names in July: Sees Express Off to a Strong Back-to-School Start, Francesca's Saw 'Improved' Fall Deliveries, Interest in Handbag Group 'Remained Spotty'"
EV-000030,75905,GIII,2015-08-05,2015-08,9,Benzinga's Top Initiations
EV-000031,85631,ADSK,2015-08-05,2015-08,9,Benzinga's Top Initiations
EV-000032,91611,FSLR,2015-08-05,2015-08,14,Pros At Odds Over First Solar
EV-000033,14040,S,2015-08-05,2015-08,3,Mid-Day Market Update: Tuesday's Top Ten Volume Stocks
EV-000034,91611,FSLR,2015-08-05,2015-08,5,"First Solar Reports Q2 EPS $0.93 Vs Est $0.36 Does Not Compare, Sales $896M Vs Est $751.72M Does Not Compare"
EV-000035,91611,FSLR,2015-08-05,2015-08,5,"First Solar Expecting FY15 EPS Above $3 vs $2.36 Est., Shipments 2.8GW-2.9GW"
EV-000036,87337,PLUG,2015-08-05,2015-08,17,L'Air Liquide Reports 5.64% Stake In Plug Power as of July 31
EV-000037,91611,FSLR,2015-08-05,2015-08,10,"Tuesday's After-Hours Movers Led By Disney, Fist Solar, ChannelAdvisor and USANA Health Sciences"
EV-000038,24441,CDE,2015-08-05,2015-08,5,"Coeur Mining Reports Q2 Adj Loss $0.11 Vs Est Loss $0.25, Sales $166.3M vs Est $165.02M"
EV-000039,14970,HUBS,2015-08-06,2015-08,16,JP Morgan Downgrades HubSpot to Neutral
EV-000040,91611,FSLR,2015-08-06,2015-08,17,Cowen & Company Upgrades First Solar to Outperform
EV-000041,91611,FSLR,2015-08-06,2015-08,9,Benzinga's Top #PreMarket Gainers
EV-000042,88360,MRVL,2015-08-06,2015-08,16,Citigroup Upgrades Marvell Technology Group to Neutral
EV-000043,77175,AMSC,2015-08-06,2015-08,5,"American Superconductor Reports Q1 Loss of $0.72/Share vs Loss of $0.69/Share Est., Sales $23.7M vs $22.82M Est.; Sees Q2 Sales $18M-$20M vs $20M Est."
EV-000044,53613,MU,2015-08-06,2015-08,14,"How Low Can Micron Go? Quite A Bit, If You Believe These Metrics"
EV-000045,85631,ADSK,2015-08-06,2015-08,16,"Goldman Sachs Downgrades Autodesk to Buy, Maintains $73.00 PT"
EV-000046,91611,FSLR,2015-08-06,2015-08,9,Benzinga's Top Upgrades
EV-000047,15643,RUN,2015-08-06,2015-08,13,"Upcoming IPOs for Wed., Aug. 5, 2015: BETR, RUN, ZYNE"
EV-000048,91611,FSLR,2015-08-06,2015-08,10,Morning Market Gainers
EV-000049,15643,RUN,2015-08-06,2015-08,7,Shares of Sunrun Open for Trade at $13.06; IPO Priced at $14
EV-000050,91611,FSLR,2015-08-06,2015-08,13,"Top Performing Industries For August 5, 2015"
EV-000051,14970,HUBS,2015-08-06,2015-08,10,J.P. Morgan: Stop Buying HubSpot
EV-000052,14970,HUBS,2015-08-06,2015-08,2,Calls Of Note: The Research Moving Stocks
EV-000053,14040,S,2015-08-06,2015-08,3,"Mid-Day Market Update: Wednesday's Top Volume Stocks; Apple, Disney, Rite Aid, and More!"
EV-000054,15643,RUN,2015-08-06,2015-08,11,IPO Outlook: Planet Fitness Bargain Gym Memberships Growing Strong
EV-000055,10220,BWXT,2015-08-06,2015-08,5,"BWX Tech Reports Q2 EPS $0.32, no estimates"
EV-000056,64785,AGX,2015-08-06,2015-08,17,Agran Inc Subsidiary Gemma Power Systems Enter EPC Agreement With Exelon Worth $100M
EV-000057,86580,NVDA,2015-08-07,2015-08,6,"Earnings Scheduled For August 6, 2015"
EV-000058,86580,NVDA,2015-08-07,2015-08,2,10 Must Watch Stocks for Today
EV-000059,53613,MU,2015-08-07,2015-08,13,Fast Money Picks For August 6
EV-000060,87337,PLUG,2015-08-07,2015-08,5,"Plug Power Reports Q2 Sales $24M vs $25.2M Est., Adj. Loss of $0.06/Share vs Loss of $0.07/Share Est."
EV-000061,14040,S,2015-08-07,2015-08,11,FBR Capital Upgrades Sprint to Outperform
EV-000062,32651,HL,2015-08-07,2015-08,5,"Helca Mining Reports Q2 Adj Loss $0.05 Vs Est Loss $0.01, Revs $104.1M Vs Est $115.58M"
EV-000063,14040,S,2015-08-07,2015-08,11,"FBR: Sprint Will Outperform The Market On 'High-Risk, High-Return Plan'"
EV-000064,14040,S,2015-08-07,2015-08,9,Benzinga's Top Upgrades
EV-000065,14040,S,2015-08-07,2015-08,18,"Investors: Forget Telecoms, Tower Stocks Might Be Where It's At"
EV-000066,15643,RUN,2015-08-07,2015-08,10,NYSE Welcomes Planet Fitness
EV-000067,12873,P,2015-08-07,2015-08,14,"Albert Fried's Rich Tullo Comments on Report Apple Music Saw 11M Trial Members, Calls Figure 'Hideous' When Considering How Many Users Received iOS Upgrade"
EV-000068,14040,S,2015-08-07,2015-08,2,Calls Of Note: The Research Moving Stocks Today
EV-000069,13511,PANW,2015-08-07,2015-08,10,"CNBC Now Tweets: 'BREAKING: Russia has hacked Pentagon computers, @NBCNews reports. http://cnb.cx/1UqRDsw'"
EV-000070,83976,ANF,2015-08-07,2015-08,0,Option Alert: Abercrombie & Fitch Sep $22 Call Sweep; 1893 Contracts @Ask @$0.53
EV-000071,14970,HUBS,2015-08-07,2015-08,5,"HubSpot Reports Q2 Loss $0.19 Vs Est Loss $0.21, Sales $42.9M Vs Est $40.05M"
EV-000072,86580,NVDA,2015-08-07,2015-08,5,"NVIDIA Reports Q2 Adj. EPS $0.34, GAAP EPS $0.05, Sales $1.153B vs $1.01B Est."
EV-000073,86580,NVDA,2015-08-07,2015-08,1,NVIDIA Sees Q3 Sales $1.18B +/- 2%
EV-000074,87430,KTOS,2015-08-07,2015-08,5,"Kratos Defense and Security Reports Q2 Adj. Loss of $0.02/Share vs Loss of $0.04/Share Est., Sales $160.5M vs $185.4M Est."
EV-000075,86580,NVDA,2015-08-07,2015-08,10,"Thursday's After-Hours Movers Led By Zynga, Nvidia, Nuance And Monster Beverage"
EV-000076,86580,NVDA,2015-08-07,2015-08,14,"NVIDIA Beats Q2 Views, Shares Jump"
EV-000077,86580,NVDA,2015-08-10,2015-08,2,7 Stocks You Should Be Watching Today
EV-000078,53613,MU,2015-08-10,2015-08,1,"4GB DDR3 Contract Prices Expected to Fall Below $20 in Q3 2015, According to DRAMeXchange -DigiTimes"
EV-000079,13511,PANW,2015-08-10,2015-08,14,"American Airlines, Sabre Systems Said to be Attacked by Hackers -Bloomberg"
EV-000080,86580,NVDA,2015-08-10,2015-08,1,"Brean Sees Yellow Flags At Nvidia, Cites Expected FCF Contraction Following Final Intel Royalty Pmt In Q1 2018, Notes Nvidia Litigation Efforts Against Samsung & Qualcomm To Secure Additional IP Revenue Streams"
EV-000081,86580,NVDA,2015-08-10,2015-08,1,"Wedbush's Van Hees on NVIDIA: 'Underestimation of Demand from PC Gamers Drove Big Upside to Top Line FQ2 Print & FQ3 Guide,' Reiterate Outperform, $24 Price Target"
EV-000082,14609,SPWH,2015-08-10,2015-08,15,"Credit Suisse Lower Expectations on Sporting Goods Retailers, Cuts Estimates For DKS, SPWH, and CAB Following Weak Q2, Says 'stocks are cheap, but more change may be needed'"
EV-000083,91611,FSLR,2015-08-10,2015-08,17,"Jim Cramer Advises His Viewers On VMware, Inc., EMC Corporation, Mobileye NV And SolarCity Corp"
EV-000084,86580,NVDA,2015-08-10,2015-08,1,"Morgan Stanley 'less negative' On NVIDIA, Says Valuation Is High And Gaming Growth Overstates Longer Terms Growth Possibilities"
EV-000085,86580,NVDA,2015-08-10,2015-08,7,"Morgan Stanley Maintains Underweight on NVIDIA, Raises PT to $21.00"
EV-000086,86580,NVDA,2015-08-10,2015-08,1,"Brean's Burton Commends NVIDIA on 'Executing in a Tough Environment,' But Sees Valuation as Full; Maintains Hold Rating Following Q2 Results"
EV-000087,15145,BOX,2015-08-10,2015-08,10,Oppenheimer Upgrades Box to Outperform
EV-000088,15145,BOX,2015-08-10,2015-08,10,Oppenheimer Upgrades Box to Outperform
EV-000089,77606,KSS,2015-08-10,2015-08,15,"Morgan Stanley Sees Q2 Earnings from Department Store Names Next Week 'Likely Uneventful;' Maintains Equal-weight Ratings on Macy's, Nordstrom, Underweight Ratings on Kohl's, JC Penney"
EV-000090,77462,M,2015-08-10,2015-08,15,"Morgan Stanley Sees Q2 Earnings from Department Store Names Next Week 'Likely Uneventful;' Maintains Equal-weight Ratings on Macy's, Nordstrom, Underweight Ratings on Kohl's, JC Penney"
EV-000091,93096,DG,2015-08-10,2015-08,15,"Dollar General Appoints James THorpe EVP, Chief Merchandising Officer"
EV-000092,86580,NVDA,2015-08-10,2015-08,7,"Roth Capital Upgrades NVIDIA to Buy, Raises PT to $25.00"
EV-000093,86580,NVDA,2015-08-10,2015-08,9,Benzinga's Top #PreMarket Gainers
EV-000094,53613,MU,2015-08-10,2015-08,16,"Drexel Hamilton Downgrades Micron Technology to Hold, Lowers to $19.00"
EV-000095,93002,AVGO,2015-08-10,2015-08,16,"Drexel Hamilton Downgrades Avago Technologies to Hold, Lowers PT to $125.00"
EV-000096,86580,NVDA,2015-08-10,2015-08,9,Benzinga's Top Upgrades
EV-000097,15145,BOX,2015-08-10,2015-08,9,Benzinga's Top Upgrades
EV-000098,93002,AVGO,2015-08-10,2015-08,9,Benzinga's Top Downgrades
EV-000099,77606,KSS,2015-08-10,2015-08,7,"Gilford Securities Says H2 2015 - 2017 Will Justify $80 Price, Worthy Of Building A Position With A 3% Dividend Yield"
EV-000100,86580,NVDA,2015-08-10,2015-08,10,Morning Market Gainers
EV-000101,75905,GIII,2015-08-10,2015-08,9,Benzinga's Top Initiations
EV-000102,85914,BBY,2015-08-10,2015-08,15,Why Best Buy Has 35% Upside
EV-000103,77462,M,2015-08-10,2015-08,15,Morgan Stanley Sees Q2 Earnings In Department Store Names 'Likely Uneventful'
EV-000104,77606,KSS,2015-08-10,2015-08,15,Morgan Stanley Sees Q2 Earnings In Department Store Names 'Likely Uneventful'
EV-000105,86580,NVDA,2015-08-10,2015-08,9,Benzinga's Volume Movers
EV-000106,86580,NVDA,2015-08-10,2015-08,13,Fast Money Picks For August 10
EV-000107,77606,KSS,2015-08-10,2015-08,11,Cisco And More Retailers Highlight Earnings This Week
EV-000108,77462,M,2015-08-10,2015-08,11,Cisco And More Retailers Highlight Earnings This Week
EV-000109,85914,BBY,2015-08-10,2015-08,15,Will Jet Hurt Amazon Or Costco?
EV-000110,79881,URBN,2015-08-11,2015-08,15,"Urban Outfitters Positions For 'solid H2 of the year' Says Brean, Believes Multiple Top- & Bottom-line Drivers Will Improve Urban's Brand Products"
EV-000111,14141,SAIC,2015-08-11,2015-08,17,SAIC Awarded $105M SCM Contract By DLA
EV-000112,15535,OLLI,2015-08-11,2015-08,7,"Bank of America Initiates Coverage on Ollie's Bargain Outlet at Neutral, Announces $22.00 PT"
EV-000113,15535,OLLI,2015-08-11,2015-08,7,"Piper Jaffray Initiates Coverage on Ollie's Bargain Outlet at Neutral, Announces $20.00 PT"
EV-000114,15535,OLLI,2015-08-11,2015-08,7,"Jefferies Initiates Coverage on Ollie's Bargain Outlet at Buy, Announces $23.00 PT"
EV-000115,15535,OLLI,2015-08-11,2015-08,7,"RBC Capital Initiates Coverage on Ollie's Bargain Outlet at Outperform, Announces $23.00 PT"
EV-000116,15535,OLLI,2015-08-11,2015-08,7,"JP Morgan Initiates Coverage on Ollie's Bargain Outlet at Overweight, Announces $23.00 PT"
EV-000117,78975,INTU,2015-08-11,2015-08,16,Raymond James Downgrades Intuit to Market Perform
EV-000118,15535,OLLI,2015-08-11,2015-08,7,"KeyBanc Initiates Coverage on Ollie's Bargain Outlet at Overweight, Announces $24.00 PT"
EV-000119,77699,FCEL,2015-08-11,2015-08,17,FuelCell Energy Reports 5.6MW in Added Fuel Cell Sales to South Korean Partner
EV-000120,15535,OLLI,2015-08-11,2015-08,10,Initiated Coverage on Ollie's Bargain Outlet!
EV-000121,78975,INTU,2015-08-11,2015-08,9,Benzinga's Top Downgrades
EV-000122,15535,OLLI,2015-08-11,2015-08,9,Benzinga's Top Initiations
EV-000123,24441,CDE,2015-08-11,2015-08,3,Mid-Day Market Update: Dow Surges Over 200 Points; Dean Foods Shares Decline On Downbeat Sales
EV-000124,27828,HPQ,2015-08-11,2015-08,2,Credit Suisse's 6 Tech Stocks To Own In A High-Growth Market
EV-000125,85631,ADSK,2015-08-11,2015-08,2,Credit Suisse's 6 Tech Stocks To Own In A High-Growth Market
EV-000126,53613,MU,2015-08-11,2015-08,3,"Mid-Day Market Update: Monday's Top 10 Volume Stocks; Apple, Twitter, Sunedison, Groupon, and More!"
EV-000127,14040,S,2015-08-11,2015-08,3,"Mid-Day Market Update: Monday's Top 10 Volume Stocks; Apple, Twitter, Sunedison, Groupon, and More!"
EV-000128,13511,PANW,2015-08-11,2015-08,14,Scott Bauer's Option Strategy For Palo Alto Networks
EV-000129,14040,S,2015-08-11,2015-08,18,"MKM: Sell The REITs (And Chemicals), Buy The Utilities"
EV-000130,14040,S,2015-08-11,2015-08,17,"Shares of NTELOS Halted Following Issuance of Release from Shenandoah Telecom Showing Will Acquire NTELOS at $9.25/Share, Total Value ~$208M"
EV-000131,13527,FIVE,2015-08-11,2015-08,5,Five Oaks Investment Corp. Reports Q2 Core EPS $0.30 vs $0.32 Est.
EV-000132,77462,M,2015-08-11,2015-08,15,Bob Olstein Makes A Case For Selling Amazon And Netflix And Buying Macy's
EV-000133,78975,INTU,2015-08-12,2015-08,16,"RBC Capital Downgrades Intuit to Sector Perform, Lowers PT to $115.00"
EV-000134,14040,S,2015-08-12,2015-08,10,Jim Cramer Shares His Thoughts On Twitter Inc And Sprint Corp
EV-000135,78975,INTU,2015-08-12,2015-08,18,RBC: Intuit Has Less Upside In Near-Term
EV-000136,86580,NVDA,2015-08-12,2015-08,14,Unusual Option Opportunity Nvidia
EV-000137,77606,KSS,2015-08-12,2015-08,2,"Commodities, Retail Tests Leave Stocks Skimming Low End Of Range"
EV-000138,77462,M,2015-08-12,2015-08,2,"Commodities, Retail Tests Leave Stocks Skimming Low End Of Range"
EV-000139,14434,MBUU,2015-08-12,2015-08,7,"KeyBanc Initiates Coverage on Malibu Boats at Overweight, Announces $24.00 PT"
EV-000140,78975,INTU,2015-08-12,2015-08,9,Benzinga's Top Downgrades
EV-000141,53613,MU,2015-08-12,2015-08,7,"Piper Jaffray's Ruben Roy Cuts Estimates on Micron Amid Potential for More Average Selling Price Downside Risk; Reiterates Overweight, Lowers Target from $30 to $25"
EV-000142,14434,MBUU,2015-08-12,2015-08,9,Benzinga's Top Initiations
EV-000143,53613,MU,2015-08-12,2015-08,13,20 Stocks With The Highest Sales Exposure To China
EV-000144,86580,NVDA,2015-08-12,2015-08,13,20 Stocks With The Highest Sales Exposure To China
EV-000145,53613,MU,2015-08-12,2015-08,2,What TD Ameritrade Investors Bought and Sold Last Month
EV-000146,14040,S,2015-08-12,2015-08,3,Mid-Day Market Update: Tuesday's Top 10 Volume Stocks
EV-000147,77462,M,2015-08-12,2015-08,15,"Earnings To Watch On Wednesday: Cisco, Alibaba & Macy's"
EV-000148,27828,HPQ,2015-08-12,2015-08,17,Companies Facing The Most Litigation Over Patents In 2015
EV-000149,79881,URBN,2015-08-13,2015-08,15,"Specialty Retail Will Need To Meet Higher Bar To Drive Further Multiple Expansion Says Morgan Stanley, The Firm Has 10%+ PT On 5 Of 19 Stocks In Coverage"
EV-000150,14182,BURL,2015-08-13,2015-08,15,"Specialty Retail Will Need To Meet Higher Bar To Drive Further Multiple Expansion Says Morgan Stanley, The Firm Has 10%+ PT On 5 Of 19 Stocks In Coverage"
EV-000151,77462,M,2015-08-13,2015-08,6,"Earnings Scheduled For August 12, 2015"
EV-000152,77462,M,2015-08-13,2015-08,13,"7 Stocks To Watch For August 12, 2015"
EV-000153,14040,S,2015-08-13,2015-08,18,"Softbank CEO Son Considered Sale of Sprint to Comcast, Altice -Wall Street Journal"
EV-000154,77462,M,2015-08-13,2015-08,13,Fast Money Picks For August 12
EV-000155,77462,M,2015-08-13,2015-08,2,US Stock Futures Point To Lower Open
EV-000156,92203,LULU,2015-08-13,2015-08,18,"Morgan Stanley Specialty Retail Analysts Believe Heading Into Earnings, Lululemon Has Most Near-Term Momentum; Likely To Report Around Sept. 7th Week"
EV-000157,12873,P,2015-08-13,2015-08,18,"Pandora Media Sponsord Listening Ads Performing Well According To SunTrust, Potentially ~$250M Add To Annual Revenue"
EV-000158,77462,M,2015-08-13,2015-08,15,Macy's Reports Formation of JV with Fung Retailing to Test e-Commerce in China
EV-000159,77462,M,2015-08-13,2015-08,5,"Macy's Reports Q2 $0.64 vs $0.76 Est., Sales $6.104B vs $6.23B Est.; Affirms FY15 EPS Outlook to $4.70-$4.80 vs $4.63 Est."
EV-000160,77462,M,2015-08-13,2015-08,15,Macy's Comps on Owned Plus Licensed Basis Down 1.5%
EV-000161,77462,M,2015-08-13,2015-08,15,"UPDATE: Macy's JV with Fung Retailing Will Be 65% Owned by Macy's, 35% Owned by Fung"
EV-000162,77462,M,2015-08-13,2015-08,15,"Alibaba, Macy's Enter Exclusive Agreement"
EV-000163,92203,LULU,2015-08-13,2015-08,15,"For Specialty Retail, The 'Real Test' Comes In The Fourth Quarter"
EV-000164,83976,ANF,2015-08-13,2015-08,15,"For Specialty Retail, The 'Real Test' Comes In The Fourth Quarter"
EV-000165,79881,URBN,2015-08-13,2015-08,15,"For Specialty Retail, The 'Real Test' Comes In The Fourth Quarter"
EV-000166,77462,M,2015-08-13,2015-08,10,Macy's Misses Q2 Expectations
EV-000167,83011,WSM,2015-08-13,2015-08,17,Pottery Barn Debuts First-ever Product Collaboration With Designer And Event Planning Extraordinaire Ken Fulk
EV-000168,61241,AMD,2015-08-13,2015-08,1,Analyst On AMD's Executive Bonuses: 'Unbelievable'
EV-000169,24441,CDE,2015-08-13,2015-08,13,"Top Performing Industries For August 12, 2015"
EV-000170,61241,AMD,2015-08-13,2015-08,11,Calls Of Note: The Research Moving The Market On Wednesday
EV-000171,77606,KSS,2015-08-13,2015-08,10,Kohls Spikes Higher
EV-000172,77462,M,2015-08-13,2015-08,10,Alibaba Bringing Macy's To China
EV-000173,93096,DG,2015-08-13,2015-08,11,Credit Suisse's Top 10 Consumer Discretionary Stocks
EV-000174,77462,M,2015-08-13,2015-08,15,"Wunderlich's Beder Sees Buying Opportunity in G-III Apparel Amid ~10% Move Lower Wednesday, Sees Downside Stemming from Weak Q2 Results, Guidance Out of Key Buyer Macy's"
EV-000175,75905,GIII,2015-08-13,2015-08,15,"Wunderlich's Beder Sees Buying Opportunity in G-III Apparel Amid ~10% Move Lower Wednesday, Sees Downside Stemming from Weak Q2 Results, Guidance Out of Key Buyer Macy's"
EV-000176,77462,M,2015-08-13,2015-08,18,"UPDATE: Wunderlich's Beder Sees 'Macy's shrinking in importance' for G-III, Highlights 'Major Macy's areas of weakness not G-III's forte'"
EV-000177,75905,GIII,2015-08-13,2015-08,18,"UPDATE: Wunderlich's Beder Sees 'Macy's shrinking in importance' for G-III, Highlights 'Major Macy's areas of weakness not G-III's forte'"
EV-000178,53613,MU,2015-08-13,2015-08,17,Sen. Schumer Calls on U.S. to Block China's Tsinghua Unigroup From Acquiring Micron Technology
EV-000179,53613,MU,2015-08-13,2015-08,18,"UPDATE: Tsinghua/Micron Deal Already Considered Long Shot, Due to Security Concerns, Price; Senator Schumer Issues Letter Calling For Black Of Acquisitions From Chinese State Firms"
EV-000180,75905,GIII,2015-08-13,2015-08,7,"Brean Capital Upgrades G-III Apparel Group to Buy, Announces $75.00 PT"
EV-000181,75905,GIII,2015-08-13,2015-08,16,UPDATE: Brean Capital's Pierce on G-III Upgrade: 'Recent Weakness Over Reaction'
EV-000182,77462,M,2015-08-13,2015-08,2,"Apple, Macy's And Alibaba: Stocks With Currency Volatility Bruising Broad Averages"
EV-000183,14040,S,2015-08-13,2015-08,3,Mid-Day Market Update: Wednesday's Top Volume Stocks
EV-000184,77462,M,2015-08-13,2015-08,15,"Watch Macy's, JD.com Shares Here Amid Reuters Headline CEO Lundgren Has Said Co. Was Not Approached by JD.com"
EV-000185,77462,M,2015-08-13,2015-08,15,Macy's CEO Explains Why The Company Couldn't Meet Q2 Expectations
EV-000186,12873,P,2015-08-13,2015-08,18,Bob Peck: Pandora Revenue Has Even More Potential Than Previously Thought
EV-000187,79881,URBN,2015-08-13,2015-08,10,Which Brands Do Social Media Users Like The Most? And Why?
EV-000188,83976,ANF,2015-08-13,2015-08,10,Which Brands Do Social Media Users Like The Most? And Why?
EV-000189,83822,GES,2015-08-13,2015-08,10,Which Brands Do Social Media Users Like The Most? And Why?
EV-000190,87337,PLUG,2015-08-13,2015-08,17,Plug Power Inc. ‏@PlugPowerInc Tweet:  Landfill gas-to-#hydrogen project at BMW facility completed in SC
EV-000191,75069,IOT,2015-08-13,2015-08,5,Income Opportunity Investors Reports Q2 EPS $0.14 vs. Prior Year Quarter $0.17
EV-000192,15145,BOX,2015-08-13,2015-08,18,"Did Alibaba, Box And Fitbit Peak At Their IPO?"
EV-000193,77462,M,2015-08-13,2015-08,15,Everything You Need To Know About Retail Earnings...
EV-000194,14040,S,2015-08-14,2015-08,18,"Softbank Buys 22,873,301 of Sprint @$3.80/Share -Form 4"
EV-000195,77606,KSS,2015-08-14,2015-08,6,"Earnings Scheduled For August 13, 2015"
EV-000196,77606,KSS,2015-08-14,2015-08,2,10 Stocks You Should Be Watching Today
EV-000197,14040,S,2015-08-14,2015-08,18,Sprint Shares +8% Premarket Following Report of Softbank ~23M Share Purchase
EV-000198,77462,M,2015-08-14,2015-08,15,"Jim Cramer Gives His Opinion On Wal-Mart Stores, Inc., Shopify Inc And Macy's, Inc."
EV-000199,77606,KSS,2015-08-14,2015-08,5,"Kohl's Reports Q2 Adj. EPS $1.07 vs $1.16 Est., Sales $4.267B vs $4.31B Est."
EV-000200,77606,KSS,2015-08-14,2015-08,5,Kohl's Q2 Comps Up 0.1%; Sees FY15 EPS to be at the Low End of Previously-Issued Range of $4.40-$4.60 vs $4.51 Est.
EV-000201,77606,KSS,2015-08-14,2015-08,18,"Kohl's Misses Q2 Expectations, Shares Drop"
EV-000202,77606,KSS,2015-08-14,2015-08,11,"US Stock Futures Rise Ahead of Jobless Claims, Retail Sales Data"
EV-000203,53613,MU,2015-08-14,2015-08,18,Micron +1.65% Premarket; Sen. Chuck Schumer Called Wednesday for the Blocking of China's Tsinghua Unigroup from Acquiring Micron Technology
EV-000204,32651,HL,2015-08-14,2015-08,2,4 Precious Metal Stocks Deutsche Bank Just Got Very Bullish On
EV-000205,32651,HL,2015-08-14,2015-08,7,"Deutsche Bank Upgrades Hecla Mining to Buy, Maintains $3.50 PT"
EV-000206,75905,GIII,2015-08-14,2015-08,7,"Brean Capital Upgrades G-III Apparel Group to Buy, Announces $75.00 PT"
EV-000207,77606,KSS,2015-08-14,2015-08,9,Benzinga's Top #PreMarket Losers
EV-000208,79881,URBN,2015-08-14,2015-08,7,"Wunderlich's Beder Reiterates Buy Rating, $49 Price Target on Urban Outfitters Ahead of Q2 Earnings, Sees a 'Bit of Calm This Qtr.'"
EV-000209,12873,P,2015-08-14,2015-08,18,"Stifel's Devitt Believes Q2 Earnings in Internet Group Confirms View 'of the importance of being on the right side of the mobile transition,' Highlights Best Ideas"
EV-000210,27828,HPQ,2015-08-14,2015-08,18,Citi: Risk-Reward Still Looks Attractive At HP Before Break-Up
EV-000211,77606,KSS,2015-08-14,2015-08,10,Morning Market Losers
EV-000212,77606,KSS,2015-08-14,2015-08,3,Mid-Morning Market Update: Markets Decline; Kohl's Misses Q2 Views
EV-000213,77462,M,2015-08-14,2015-08,15,Is Macy's Still A Buy?
EV-000214,86580,NVDA,2015-08-14,2015-08,1,Tigress Financial's Feinseth Reiterates Buy Rating on NVIDIA in Intraday Research Note; He's Convicted Co.'s 'premier position in the graphics chip space will continue to unlock shareholder value'
EV-000215,77606,KSS,2015-08-14,2015-08,2,"U.S. Stocks Twist Between Losses, Gains After Fuzzy Retail Spending"
